funcid,dim,milestone,error
30,10,1,2.390911e+07
30,10,2,2.390911e+07
30,10,3,2.390911e+07
30,10,5,1.615985e+07
30,10,10,1.008366e+07
30,10,20,2.846938e+06
30,10,30,2.846938e+06
30,10,40,2.846938e+06
30,10,50,2.846938e+06
30,10,60,2.846938e+06
30,10,70,2.846938e+06
30,10,80,2.846938e+06
30,10,90,2.846938e+06
30,10,100,5.258301e+05
30,10,1,5.964432e+07
30,10,2,1.056496e+07
30,10,3,1.056496e+07
30,10,5,1.056496e+07
30,10,10,1.056496e+07
30,10,20,7.366926e+06
30,10,30,6.362276e+06
30,10,40,6.362276e+06
30,10,50,6.362276e+06
30,10,60,6.362276e+06
30,10,70,6.362276e+06
30,10,80,6.132064e+06
30,10,90,6.132064e+06
30,10,100,6.132064e+06
30,10,1,4.933708e+07
30,10,2,3.590274e+07
30,10,3,8.665819e+06
30,10,5,8.665819e+06
30,10,10,8.665819e+06
30,10,20,2.518158e+06
30,10,30,2.518158e+06
30,10,40,2.518158e+06
30,10,50,2.518158e+06
30,10,60,2.518158e+06
30,10,70,2.518158e+06
30,10,80,2.518158e+06
30,10,90,2.518158e+06
30,10,100,9.682765e+05
30,10,1,6.797238e+07
30,10,2,2.541994e+07
30,10,3,2.541994e+07
30,10,5,2.047309e+07
30,10,10,1.221811e+07
30,10,20,1.221811e+07
30,10,30,1.221811e+07
30,10,40,5.837407e+06
30,10,50,5.837407e+06
30,10,60,5.837407e+06
30,10,70,3.685625e+06
30,10,80,2.361870e+06
30,10,90,3.402021e+05
30,10,100,1.498099e+05
30,10,1,2.418674e+07
30,10,2,2.418674e+07
30,10,3,1.528357e+07
30,10,5,1.528357e+07
30,10,10,1.528357e+07
30,10,20,1.528357e+07
30,10,30,1.528357e+07
30,10,40,1.350568e+07
30,10,50,7.748409e+06
30,10,60,5.577486e+06
30,10,70,6.921462e+05
30,10,80,6.921462e+05
30,10,90,3.319844e+05
30,10,100,3.319844e+05
30,10,1,6.594039e+06
30,10,2,6.594039e+06
30,10,3,6.594039e+06
30,10,5,6.594039e+06
30,10,10,6.594039e+06
30,10,20,6.594039e+06
30,10,30,6.594039e+06
30,10,40,6.594039e+06
30,10,50,6.594039e+06
30,10,60,6.594039e+06
30,10,70,6.594039e+06
30,10,80,6.594039e+06
30,10,90,6.594039e+06
30,10,100,6.594039e+06
30,10,1,1.442707e+07
30,10,2,1.442707e+07
30,10,3,1.442707e+07
30,10,5,8.785681e+06
30,10,10,8.785681e+06
30,10,20,8.785681e+06
30,10,30,8.785681e+06
30,10,40,8.785681e+06
30,10,50,2.874636e+06
30,10,60,2.874636e+06
30,10,70,2.874636e+06
30,10,80,2.874636e+06
30,10,90,2.874636e+06
30,10,100,1.191688e+05
30,10,1,6.003204e+07
30,10,2,2.397975e+07
30,10,3,2.397975e+07
30,10,5,2.397975e+07
30,10,10,1.605256e+07
30,10,20,1.557132e+07
30,10,30,5.665208e+06
30,10,40,5.665208e+06
30,10,50,5.665208e+06
30,10,60,5.665208e+06
30,10,70,5.016715e+05
30,10,80,3.647549e+05
30,10,90,3.647549e+05
30,10,100,2.381622e+05
30,10,1,3.744100e+07
30,10,2,3.839294e+06
30,10,3,3.839294e+06
30,10,5,3.839294e+06
30,10,10,3.839294e+06
30,10,20,3.839294e+06
30,10,30,3.839294e+06
30,10,40,3.839294e+06
30,10,50,3.839294e+06
30,10,60,1.189339e+06
30,10,70,2.804647e+05
30,10,80,2.804647e+05
30,10,90,2.303111e+04
30,10,100,2.303111e+04
30,10,1,7.645585e+07
30,10,2,5.172031e+07
30,10,3,3.164394e+07
30,10,5,1.066668e+07
30,10,10,1.034014e+07
30,10,20,3.074206e+06
30,10,30,3.074206e+06
30,10,40,3.074206e+06
30,10,50,3.074206e+06
30,10,60,3.074206e+06
30,10,70,3.470988e+05
30,10,80,3.470988e+05
30,10,90,3.470988e+05
30,10,100,3.470988e+05
