funcid,dim,milestone,error
12,30,1,1.494367e+10
12,30,2,1.170131e+10
12,30,3,1.170131e+10
12,30,5,8.400275e+09
12,30,10,6.157869e+09
12,30,20,6.157869e+09
12,30,30,6.157869e+09
12,30,40,6.157869e+09
12,30,50,6.157869e+09
12,30,60,6.157869e+09
12,30,70,6.157869e+09
12,30,80,6.157869e+09
12,30,90,5.556933e+09
12,30,100,5.556933e+09
12,30,1,1.245427e+10
12,30,2,1.245427e+10
12,30,3,1.245427e+10
12,30,5,1.245427e+10
12,30,10,1.245427e+10
12,30,20,7.137347e+09
12,30,30,7.137347e+09
12,30,40,7.137347e+09
12,30,50,7.137347e+09
12,30,60,7.137347e+09
12,30,70,7.137347e+09
12,30,80,7.137347e+09
12,30,90,7.137347e+09
12,30,100,7.137347e+09
12,30,1,1.657372e+10
12,30,2,1.657372e+10
12,30,3,1.239792e+10
12,30,5,1.239792e+10
12,30,10,1.239792e+10
12,30,20,1.036374e+10
12,30,30,1.036374e+10
12,30,40,1.036374e+10
12,30,50,1.036374e+10
12,30,60,1.036374e+10
12,30,70,1.036374e+10
12,30,80,1.036374e+10
12,30,90,1.036374e+10
12,30,100,1.036374e+10
12,30,1,1.741142e+10
12,30,2,1.623668e+10
12,30,3,1.108016e+10
12,30,5,1.058142e+10
12,30,10,7.080569e+09
12,30,20,7.080569e+09
12,30,30,7.080569e+09
12,30,40,7.080569e+09
12,30,50,7.080569e+09
12,30,60,7.009251e+09
12,30,70,7.009251e+09
12,30,80,7.009251e+09
12,30,90,7.009251e+09
12,30,100,7.009251e+09
12,30,1,8.998116e+09
12,30,2,8.998116e+09
12,30,3,8.998116e+09
12,30,5,8.998116e+09
12,30,10,8.998116e+09
12,30,20,8.998116e+09
12,30,30,8.998116e+09
12,30,40,8.998116e+09
12,30,50,8.860486e+09
12,30,60,8.814045e+09
12,30,70,8.814045e+09
12,30,80,8.814045e+09
12,30,90,8.814045e+09
12,30,100,8.814045e+09
12,30,1,1.691143e+10
12,30,2,1.640967e+10
12,30,3,1.615650e+10
12,30,5,1.004116e+10
12,30,10,1.004116e+10
12,30,20,9.486869e+09
12,30,30,9.486869e+09
12,30,40,9.425647e+09
12,30,50,9.425647e+09
12,30,60,9.024077e+09
12,30,70,9.024077e+09
12,30,80,9.024077e+09
12,30,90,9.024077e+09
12,30,100,9.024077e+09
12,30,1,1.467515e+10
12,30,2,1.467515e+10
12,30,3,1.467515e+10
12,30,5,1.467515e+10
12,30,10,1.167282e+10
12,30,20,7.598318e+09
12,30,30,7.598318e+09
12,30,40,7.509988e+09
12,30,50,7.509988e+09
12,30,60,7.509988e+09
12,30,70,7.509988e+09
12,30,80,7.509988e+09
12,30,90,7.509988e+09
12,30,100,7.509988e+09
12,30,1,1.717375e+10
12,30,2,1.235670e+10
12,30,3,1.129048e+10
12,30,5,1.129048e+10
12,30,10,1.097394e+10
12,30,20,8.523191e+09
12,30,30,8.523191e+09
12,30,40,8.523191e+09
12,30,50,8.296819e+09
12,30,60,8.296819e+09
12,30,70,7.929546e+09
12,30,80,7.929546e+09
12,30,90,7.929546e+09
12,30,100,7.929546e+09
12,30,1,1.160849e+10
12,30,2,1.041728e+10
12,30,3,1.041728e+10
12,30,5,1.041728e+10
12,30,10,1.041728e+10
12,30,20,1.041728e+10
12,30,30,1.016495e+10
12,30,40,1.016495e+10
12,30,50,1.016495e+10
12,30,60,1.016495e+10
12,30,70,1.016495e+10
12,30,80,1.016495e+10
12,30,90,1.016495e+10
12,30,100,1.016495e+10
12,30,1,1.540520e+10
12,30,2,1.540520e+10
12,30,3,1.443027e+10
12,30,5,1.132231e+10
12,30,10,1.132231e+10
12,30,20,9.784158e+09
12,30,30,9.557879e+09
12,30,40,9.557879e+09
12,30,50,9.557879e+09
12,30,60,9.557879e+09
12,30,70,9.557879e+09
12,30,80,9.557879e+09
12,30,90,9.557879e+09
12,30,100,9.557879e+09
